Course,Block 1,Block 2,Block 3,Block 4,Block 5,Block 6,Block 7,Block 8
ENGLISH LANGUAGE ARTS 9 CHALLENGE,0,0,0,0,19,19,0,0
ENGLISH STUDIES 12,0,0,24,0,0,9,24,0
ENGLISH STUDIES 12 CHALLENGE,0,9,0,0,0,0,0,0
ENTREPRENEURSHIP 12,21,0,0,0,0,0,0,0
ENVIRONMENTAL SCIENCE 11,0,0,0,10,23,0,0,0
ENVIRONMENTAL SCIENCE 12 - CLIMATE CHANGE,0,0,0,0,0,0,0,21
EXPLORATIONS IN SOCIAL STUDIES 11,17,24,0,0,0,0,12,0
FITNESS AND CONDITIONING 11,9,0,0,0,0,0,0,0
FITNESS AND CONDITIONING 12,0,0,15,0,0,0,0,0
FOOD STUDIES 11,23,0,0,0,23,0,17,23
FOOD STUDIES 12,23,0,0,0,11,0,13,23
FOUNDATIONS OF MATH AND PRE-CALCULUS 10,0,21,24,0,0,29,24,0
FOUNDATIONS OF MATH AND PRE-CALCULUS 10 CHALLENGE,0,0,20,0,18,0,0,0
FOUNDATIONS OF MATH AND PRE-CALCULUS 10 HONOURS,15,0,0,0,0,0,0,0
FOUNDATIONS OF MATHEMATICS 11,0,0,0,0,0,0,14,0
FRENCH 10,0,0,0,0,0,14,0,11
FRENCH 11,0,18,0,0,0,0,0,12
FRENCH 12,0,5,0,8,0,0,0,0
FRENCH 9,0,0,0,0,0,0,11,4
GEOMETRY 12,0,0,0,0,0,0,14,0
GRAPHIC PRODUCTION 11 LINEAR,0,0,7,0,0,0,0,0
GRAPHIC PRODUCTION 12 LINEAR,0,0,0,0,0,0,0,4
INDEPENDENT DIRECTED STUDIES 10B,0,0,0,0,0,5,0,0
INDEPENDENT DIRECTED STUDIES 10C,0,0,9,0,0,0,0,0
INSTRUMENTAL MUSIC 11: CONCERT BAND LINEAR,0,0,11,0,0,0,0,0
INSTRUMENTAL MUSIC 11: JAZZ BAND LINEAR,0,0,3,8,0,0,0,0
INSTRUMENTAL MUSIC 12: CONCERT BAND LINEAR,0,0,0,11,0,0,0,0
INSTRUMENTAL MUSIC 12: GUITAR,7,0,0,0,4,0,0,0
INSTRUMENTAL MUSIC 12: JAZZ BAND LINEAR,0,0,2,0,0,0,0,4
INSTRUMENTAL MUSIC: CONCERT BAND 10 Linear,0,0,0,0,0,8,0,0
INSTRUMENTAL MUSIC: JAZZ BAND 10 Linear,0,0,0,0,0,0,9,0
INSTRUMENTAL MUSIC: ORCHESTRA 10 Strings LINEAR,0,0,4,0,0,0,0,0
INSTRUMENTAL MUSIC: ORCHESTRA 11 Strings Linear,0,0,0,0,4,0,0,0
INSTRUMENTAL MUSIC: ORCHESTRA 12 Strings Linear,3,0,0,0,0,0,0,0
INTRODUCTORY SPANISH 11,0,0,0,17,0,10,0,0
Information and Communications Technologies 10,0,0,0,2,0,0,0,15
Intermediate ELL 11,0,0,0,0,0,2,0,0
JAZZ BAND 9 LINEAR,0,0,0,8,0,0,0,0
LAW STUDIES 12,24,0,24,24,0,0,14,0
LEARNING STRATEGIES 10,1,1,1,0,0,5,4,2
LEARNING STRATEGIES 10 LINEAR,1,0,0,0,0,0,0,0
LEARNING STRATEGIES 11,1,2,0,2,2,4,0,2
LEARNING STRATEGIES 11 LINEAR,2,1,5,0,0,0,0,0
LEARNING STRATEGIES 12,2,2,2,3,2,2,2,4
LEARNING STRATEGIES 12 LINEAR,0,0,0,0,0,1,0,0
LEARNING STRATEGIES 9 LD,3,0,2,1,2,3,3,0
LIFE SCIENCES 11,23,0,23,0,23,23,0,0
LITERARY STUDIES 11 Challenge,16,0,0,19,0,0,0,0
LITERARY STUDIES 12,0,0,0,0,17,0,0,0
MARKETING AND PROMOTION 11,0,0,0,0,29,0,0,0
MATHEMATICS 9,25,0,0,27,29,0,0,17
MATHEMATICS 9 CHALLENGE,21,0,0,0,0,0,17,0
MATHEMATICS 9 HONOURS,0,0,0,0,0,0,0,10
MCMPR11W--,1,6,3,7,1,3,2,2
MCMPR12W--,0,3,4,1,3,0,3,0
MDFT-11---,0,1,0,1,0,0,0,0
MECOM12---,0,1,1,2,0,1,1,3
MEDIA DESIGN 11,5,0,7,0,0,0,0,0
MEDIA DESIGN 12,5,0,5,0,0,0,0,0
MSC--10---,9,9,15,14,36,30,27,26
MTEAD12---,1,0,1,2,0,0,0,1
NUMERACY 9,0,0,0,0,0,6,0,0
OUTDOOR EDUCATION 10,0,0,0,0,0,11,0,0
OUTDOOR EDUCATION 11,0,0,0,0,0,4,0,0
OUTDOOR EDUCATION 12,0,0,0,0,0,0,0,3
PBB--2H,2,0,0,1,0,0,0,2
PEER TUTORING 10 LINEAR,0,0,0,0,8,0,0,0
PEER TUTORING 11 LINEAR,0,0,11,0,0,0,0,0
PEER TUTORING 12 LINEAR,0,0,0,0,0,0,1,0
PHOTOGRAPHY 11,0,0,16,0,0,0,0,16
PHOTOGRAPHY 12,0,8,0,0,0,0,0,4
PHYSICAL AND HEALTH EDUCATION 10,0,0,0,8,0,0,0,6
PHYSICAL AND HEALTH EDUCATION 10 Boys,18,9,8,19,0,0,20,0
PHYSICAL AND HEALTH EDUCATION 10 Girls,13,0,16,16,0,0,23,0
PHYSICAL AND HEALTH EDUCATION 10 LINEAR,9,0,0,0,14,0,0,0
PHYSICAL AND HEALTH EDUCATION 9,0,17,0,0,0,13,0,0
PHYSICAL AND HEALTH EDUCATION 9 Boys,10,0,21,0,16,0,11,9
PHYSICAL AND HEALTH EDUCATION 9 Girls,12,17,0,0,0,16,0,4
PHYSICAL AND HEALTH EDUCATION 9 Linear,23,0,0,0,0,0,0,0
PHYSICAL AND HEALTH EDUCATION 9 Yoga for Mindfulns,0,0,0,0,23,0,0,0
PHYSICAL GEOGRAPHY 12,0,0,0,0,0,0,14,0
PHYSICS 11,23,23,0,23,17,23,23,23
PHYSICS 12,0,23,0,0,23,0,0,23
PRE-CALCULUS 11,20,0,29,17,29,28,29,29
PRE-CALCULUS 11 HONOURS,0,0,0,0,0,0,9,0
PRE-CALCULUS 12,0,29,25,13,29,0,0,29
PRE-CALCULUS 12 HONOURS,0,0,16,0,0,0,0,0
PSYCHOLOGY 11,0,0,24,0,0,0,24,0
ROBOTICS 11,3,0,0,3,0,7,0,0
ROBOTICS 11 LINEAR,0,0,5,0,0,0,0,0
ROBOTICS 12,4,0,0,0,5,0,0,0
ROBOTICS 12 LINEAR,0,0,0,0,0,0,0,6
SCHOLARSHIP PREPARATION 12 LINEAR,0,0,0,0,0,0,32,0
SCIENCE 10: CHALLENGE,0,21,0,16,0,0,0,0
SCIENCE 9,23,0,23,23,0,23,23,15
SCIENCE 9: CHALLENGE,0,0,23,0,14,0,0,0
SOCIAL JUSTICE 12,0,0,0,0,24,0,0,0
SOCIAL STUDIES 10,24,24,24,22,24,0,24,0
SOCIAL STUDIES 10 CHALLENGE,16,0,0,0,0,24,0,0
SOCIAL STUDIES 9,0,24,24,24,24,0,18,16
SOCIAL STUDIES 9 CHALLENGE,0,0,0,24,0,0,10,0
SPANISH 10,0,25,0,0,0,0,0,0
SPANISH 11,0,6,0,0,0,0,0,0
SPANISH 12,0,0,0,7,0,0,0,0
SPANISH 9,0,0,0,0,0,24,0,14
SPOKEN LANGUAGE 10,0,0,0,22,0,0,0,0
SPOKEN LANGUAGE 11,0,0,0,0,0,0,2,0
STRINGS 9 LINEAR,0,0,0,0,0,0,0,5
TECH ED 9: MECHANICS LD,0,0,21,21,0,0,0,0
TEXTILES 10,12,8,0,0,0,19,0,0
TEXTILES 11,0,0,7,4,0,6,0,0
TEXTILES 12,7,0,21,0,11,0,0,0
VISUAL ARTS 9,0,0,0,0,0,0,18,16
VISUAL ARTS: ART STUDIO 10,7,0,0,0,0,0,0,14
VISUAL ARTS: PHOTOGRAPHY 10,17,0,20,0,0,0,0,0
WOODWORK 11,0,13,0,0,0,12,0,0
WOODWORK 12,7,0,0,0,0,0,0,12
WORK EXPERIENCE 12A LINEAR,0,0,0,0,7,0,0,0
WORK EXPERIENCE 12B LINEAR,0,0,0,4,0,0,0,0
WORKPLACE MATHEMATICS 10,0,20,0,0,0,0,0,0
WORKPLACE MATHEMATICS 11,0,0,0,0,0,0,0,19
XFINA12I--,1,0,0,0,0,0,0,0
XFINA12S--,0,0,1,0,0,0,0,0
XLIFE12---,0,0,0,0,0,0,0,1
XLIFE12I--,0,0,0,0,0,0,1,0
YESFL0AX--,4,3,6,1,5,6,2,4
YOGA FOR MINDFULNESS 10,14,0,0,0,0,0,0,0
YOGA FOR MINDFULNESS 11,0,0,10,0,0,0,0,0
YOGA FOR MINDFULNESS 12,0,3,0,0,0,0,0,0
