StudentID,currentGrade,Block1,Block2,Block3,Block4,Block5,Block6,Block7,Block8
1259,11,"CHEMISTRY 12 (('MCH--12---', 1, 0))","AP PHYSICS C (MECHANICS) 12 ex (('APHM-12---', 0, 1))","ENGLISH STUDIES 12 CHALLENGE (('MENST12C--', 0, 2))",NULL,"AP CALCULUS AB 12 external cre (('ACAL-12---', 0, 4))","AP STATISTICS 12 (('ASTA-12---', 0, 5))","SCHOLARSHIP PREPARATION 12 LIN (('YED--2FX-L', 0, 6))","TEXTILES 12 (('MTXT-12---', 3, 7))"
1260,11,"AP ENGLISH LITERATURE & COMPOS (('AELC-12---', 0, 0))","PRE-CALCULUS 12 HONOURS (('MPREC12H--', 0, 1))","LITERARY STUDIES 12 (('MLTST12---', 0, 2))","CHEMISTRY 12 (('MCH--12---', 0, 3))","AP CALCULUS AB 12 external cre (('ACAL-12---', 0, 4))","20th CENTURY WORLD HISTORY 12 (('MWH--12---', 1, 5))","PHYSICS 11 (('MPH--11---', 0, 6))","ANATOMY AND PHYSIOLOGY 12 (('MATPH12---', 0, 7))"
1261,11,"ACTIVE LIVING 12 (('MACLV12---', 1, 0))","PHYSICS 12 (('MPH--12---', 0, 1))","SPOKEN LANGUAGE 11 (('MSPLG11---', 0, 2))","PRE-CALCULUS 12 (('MPREC12---', 0, 3))","CALCULUS 12 (('MCALC12---', 0, 4))","CONTEMPORARY INDIGENOUS STUDIE (('MINST12---', 0, 5))","ENGLISH FIRST PEOPLES 12 Year (('MENFP12--Y', 0, 6))","SOCIAL JUSTICE 12 (('MSJ--12---', 1, 7))"
1262,11,"3D ANIMATION 12 (('MDMD-12D--', 0, 0))",NULL,"ENGLISH STUDIES 12 (('MENST12---', 0, 2))","FOUNDATIONS OF MATHEMATICS 11 (('MFOM-11---', 1, 3))","ANATOMY AND PHYSIOLOGY 12 (('MATPH12---', 0, 4))","20th CENTURY WORLD HISTORY 12 (('MWH--12---', 1, 5))","PRE-CALCULUS 11 (('MPREC11---', 4, 6))","AUTOMOTIVE TECHNOLOGY 12 (('MTAUT12---', 0, 7))"
1263,11,"AP ENGLISH LITERATURE & COMPOS (('AELC-12---', 0, 0))","CHEMISTRY 12 (('MCH--12---', 0, 1))","LITERARY STUDIES 12 (('MLTST12---', 0, 2))","PRE-CALCULUS 12 (('MPREC12---', 0, 3))","INSTRUMENTAL MUSIC 12: JAZZ BA (('MIMJB12--L', 0, 4))",NULL,"CALCULUS 12 (('MCALC12---', 0, 6))","ANATOMY AND PHYSIOLOGY 12 (('MATPH12---', 0, 7))"
1264,11,"AP COMPUTER SCIENCE A 12 (('ACSC-2A---', 0, 0))","PRE-CALCULUS 12 HONOURS (('MPREC12H--', 0, 1))","CHEMISTRY 12 (('MCH--12---', 0, 2))","ENGLISH STUDIES 12 CHALLENGE (('MENST12C--', 0, 3))","AP CALCULUS AB 12 external cre (('ACAL-12---', 0, 4))","PHYSICS 12 (('MPH--12---', 0, 5))",NULL,NULL
1265,11,"ACTIVE LIVING 12 (('MACLV12---', 1, 0))","DRAMA 12 (('MDRM-12---', 0, 1))","ENGLISH STUDIES 12 (('MENST12---', 2, 2))","AUTOMOTIVE TECHNOLOGY 12 (('MTAUT12---', 0, 3))","FOOD STUDIES 12 (('MFOOD12---', 1, 4))","CONTEMPORARY INDIGENOUS STUDIE (('MINST12---', 0, 5))","PRE-CALCULUS 12 (('MPREC12---', 0, 6))",NULL
1266,11,"ENGINEERING 12 (('MENR-12---', 3, 0))","CHEMISTRY 12 (('MCH--12---', 0, 1))","FOOD STUDIES 12 (('MFOOD12---', 0, 2))","PHYSICS 12 (('MPH--12---', 0, 3))","ENVIRONMENTAL SCIENCE 12 - CLI (('MEVSC12C--', 0, 4))","ENGLISH FIRST PEOPLES 12 (('MENFP12---', 0, 5))","OUTDOOR EDUCATION 12 (('MODED12---', 0, 6))",NULL
1267,11,"3D ANIMATION 12 (('MDMD-12D--', 0, 0))","LAW STUDIES 12 (('MLST-12---', 3, 1))","ENGLISH FIRST PEOPLES 12 (('MENFP12---', 0, 2))","20th CENTURY WORLD HISTORY 12 (('MWH--12---', 1, 3))","ART STUDIO 12 (('MVAST12---', 1, 4))","PHOTOGRAPHY 12 (('MVAPH12---', 1, 5))","PHOTOGRAPHY 11 (('MVAPH11---', 0, 6))","MEDIA DESIGN 12 (('MMEDD12---', 0, 7))"
1268,11,NULL,NULL,"ENGLISH STUDIES 12 (('MENST12---', 0, 2))","PHYSICS 11 (('MPH--11---', 0, 3))","E-COMMERCE 12 (('MECOM12---', 1, 4))","PHYSICS 12 (('MPH--12---', 0, 5))","CAMOSUN COL BUSINESS 12H (('PBB--2H', 1, 6))",NULL
1269,11,"CHEMISTRY 11 (('MCH--11---', 1, 0))","PHYSICS 12 (('MPH--12---', 0, 1))","ELL Academic Literacy 11 (('YESFL1CX--', 0, 2))","PRE-CALCULUS 12 (('MPREC12---', 0, 3))","CALCULUS 12 (('MCALC12---', 0, 4))","CHEMISTRY 12 (('MCH--12---', 0, 5))","ENGLISH FIRST PEOPLES 12 Year (('MENFP12--Y', 0, 6))","ANATOMY AND PHYSIOLOGY 12 (('MATPH12---', 0, 7))"
1270,11,"PRE-CALCULUS 12 (('MPREC12---', 2, 0))","DRAMA 12 (('MDRM-12---', 0, 1))","ELL Academic Literacy 11 (('YESFL1CX--', 0, 2))",NULL,"CALCULUS 12 (('MCALC12---', 0, 4))","20th CENTURY WORLD HISTORY 12 (('MWH--12---', 1, 5))","ENGLISH FIRST PEOPLES 12 Year (('MENFP12--Y', 0, 6))",NULL
1271,11,"DRAFTING 12 (('MTDRF12---', 3, 0))","ACTIVE LIVING 12 (('MACLV12---', 0, 1))","CHEMISTRY 12 (('MCH--12---', 0, 2))","20th CENTURY WORLD HISTORY 12 (('MWH--12---', 1, 3))","PHYSICS 12 (('MPH--12---', 0, 4))","ENGLISH FIRST PEOPLES 12 (('MENFP12---', 0, 5))","PRE-CALCULUS 12 (('MPREC12---', 0, 6))","ANATOMY AND PHYSIOLOGY 12 (('MATPH12---', 0, 7))"
1272,11,"CHEMISTRY 12 (('MCH--12---', 1, 0))","PRE-CALCULUS 12 HONOURS (('MPREC12H--', 0, 1))","ENGLISH STUDIES 12 CHALLENGE (('MENST12C--', 0, 2))","PHYSICS 11 (('MPH--11---', 0, 3))","AP CALCULUS AB 12 external cre (('ACAL-12---', 0, 4))","PHYSICS 12 (('MPH--12---', 0, 5))","SCHOLARSHIP PREPARATION 12 LIN (('YED--2FX-L', 0, 6))",NULL
1273,11,"PRE-CALCULUS 12 (('MPREC12---', 2, 0))","CHEMISTRY 11 (('MCH--11---', 0, 1))","ELL Academic Literacy 11 (('YESFL1CX--', 0, 2))",NULL,"PSYCHOLOGY 11 (('YPSYC1AX--', 0, 4))","ANATOMY AND PHYSIOLOGY 12 (('MATPH12---', 2, 5))","ENGLISH FIRST PEOPLES 12 Year (('MENFP12--Y', 0, 6))","PHYSICS 11 (('MPH--11---', 4, 7))"
