Block 1,Block 2,Block 3,Block 4,Block 5,Block 6,Block 7,Block 8
FITNESS AND CONDITIONING 11,FOUNDATIONS OF MATH AND PRE-CALCULUS 10 HONOURS,INSTRUMENTAL MUSIC 11: CONCERT BAND LINEAR,INSTRUMENTAL MUSIC 12: CONCERT BAND LINEAR,MEDIA DESIGN 12,PHYSICAL AND HEALTH EDUCATION 10 LINEAR,ROBOTICS 12,TECH ED 9: MECHANICS LD
FOOD STUDIES 11,FOUNDATIONS OF MATHEMATICS 11,INSTRUMENTAL MUSIC 11: JAZZ BAND LINEAR,INSTRUMENTAL MUSIC 12: GUITAR,MSC--10---,PHYSICAL AND HEALTH EDUCATION 9,ROBOTICS 12 LINEAR,TEXTILES 10
FOOD STUDIES 12,FRENCH 10,INSTRUMENTAL MUSIC 12: CONCERT BAND LINEAR,INSTRUMENTAL MUSIC 12: JAZZ BAND LINEAR,OUTDOOR EDUCATION 11,PHYSICAL AND HEALTH EDUCATION 9 Boys,SCHOLARSHIP PREPARATION 12 LINEAR,TEXTILES 11
FOUNDATIONS OF MATH AND PRE-CALCULUS 10,FRENCH 11,INSTRUMENTAL MUSIC 12: GUITAR,INSTRUMENTAL MUSIC: CONCERT BAND 10 Linear,OUTDOOR EDUCATION 12,PHYSICAL AND HEALTH EDUCATION 9 Girls,SCIENCE 9,TEXTILES 12
FOUNDATIONS OF MATH AND PRE-CALCULUS 10 CHALLENGE,FRENCH 12,INSTRUMENTAL MUSIC 12: JAZZ BAND LINEAR,INSTRUMENTAL MUSIC: JAZZ BAND 10 Linear,PBB--2H,PHYSICAL AND HEALTH EDUCATION 9 Yoga for Mindfulns,SCIENCE 9: CHALLENGE,VISUAL ARTS 9
FOUNDATIONS OF MATH AND PRE-CALCULUS 10 HONOURS,FRENCH 9,INSTRUMENTAL MUSIC: CONCERT BAND 10 Linear,INSTRUMENTAL MUSIC: ORCHESTRA 11 Strings Linear,PHOTOGRAPHY 11,PHYSICAL GEOGRAPHY 12,SOCIAL JUSTICE 12,VISUAL ARTS: ART STUDIO 10
FOUNDATIONS OF MATHEMATICS 11,GEOMETRY 12,INSTRUMENTAL MUSIC: JAZZ BAND 10 Linear,INSTRUMENTAL MUSIC: ORCHESTRA 12 Strings Linear,PHOTOGRAPHY 12,PHYSICS 11,SOCIAL STUDIES 10,VISUAL ARTS: PHOTOGRAPHY 10
FRENCH 10,GRAPHIC PRODUCTION 11 LINEAR,INSTRUMENTAL MUSIC: ORCHESTRA 10 Strings LINEAR,LAW STUDIES 12,PHYSICAL AND HEALTH EDUCATION 10 Boys,PHYSICS 12,SOCIAL STUDIES 10 CHALLENGE,WOODWORK 11
FRENCH 11,GRAPHIC PRODUCTION 12 LINEAR,INSTRUMENTAL MUSIC: ORCHESTRA 11 Strings Linear,LIFE SCIENCES 11,PHYSICAL AND HEALTH EDUCATION 10 Girls,PRE-CALCULUS 11,SOCIAL STUDIES 9,WOODWORK 12
FRENCH 12,INDEPENDENT DIRECTED STUDIES 10B,LAW STUDIES 12,LITERARY STUDIES 11 Challenge,PHYSICAL AND HEALTH EDUCATION 10 LINEAR,PRE-CALCULUS 11 HONOURS,SOCIAL STUDIES 9 CHALLENGE,WORK EXPERIENCE 12A LINEAR
FRENCH 9,INDEPENDENT DIRECTED STUDIES 10C,LIFE SCIENCES 11,LITERARY STUDIES 12,PHYSICAL AND HEALTH EDUCATION 9,PRE-CALCULUS 12,SPANISH 10,WORK EXPERIENCE 12B LINEAR
GEOMETRY 12,INSTRUMENTAL MUSIC 11: CONCERT BAND LINEAR,LITERARY STUDIES 11 Challenge,MARKETING AND PROMOTION 11,PHYSICAL AND HEALTH EDUCATION 9 Boys,PRE-CALCULUS 12 HONOURS,SPANISH 11,WORKPLACE MATHEMATICS 10
