Block 1,Block 2,Block 3,Block 4,Block 5,Block 6,Block 7,Block 8
PRE-CALCULUS 12 (29) [106],PHYSICAL AND HEALTH EDUCATION & PHYSICAL AND HEALTH EDUCATION (21) [Gym],FRENCH 10 (11) [209],CHEMISTRY 12 (20) [223],YOGA FOR MINDFULNESS 12 & YOGA FOR MINDFULNESS 11 & YOGA FOR MINDFULNESS 10 & PHYSICAL AND HEALTH EDUCATION (25) [123],CHEMISTRY 12 (26) [211],SCHOLARSHIP PREPARATION 12 LIN (28) [A-6],SOCIAL JUSTICE 12 (30) [122]
ANATOMY AND PHYSIOLOGY 12 (23) [219],DRAFTING 12 & ADST - Drafting 9 (10) [122],FOOD STUDIES 12 (21) [222],FOUNDATIONS OF MATHEMATICS 11 (30) [210],AUTOMOTIVE TECHNOLOGY 12 & ENGINE AND DRIVETRAIN 12 & AUTOMOTIVE TECHNOLOGY 11 (26) [102],PHYSICS 12 (23) [216],SPANISH 12 (15) [122],LEARNING STRATEGIES 12 (4) [108]
AP ENGLISH LITERATURE & COMPOS (23) [A-7],PSYCHOLOGY 11 (27) [123],ENGLISH STUDIES 12 (19) [205A],FRENCH 11 (20) [107],DRAFTING 12 & DRAFTING 11 & ADST ?  DRAFTING 10 & ADST - Drafting 9 (18) [208],LAW STUDIES 12 (26) [122],CALCULUS 12 (18) [212],PHYSICS 11 (27) [216]
COMPARATIVE CULTURES 12 (29) [121],PRE-CALCULUS 12 HONOURS (22) [106],ENGLISH STUDIES 12 CHALLENGE (18) [A-7],CHEMISTRY 11 (27) [226],ART STUDIO 12 & ART STUDIO 11 & VISUAL ARTS: ART STUDIO 10 & VISUAL ARTS 9 (20) [116],ENGLISH STUDIES 12 (28) [A-7],CRIMINOLOGY 12 (28) [123],ENGINE AND DRIVETRAIN 12 (3) [123]
COMPOSITION 11 (24) [208],AP PHYSICS C (MECHANICS) 12 ex (20) [211],ENGLISH STUDIES 12 (25) [205A],ENGLISH STUDIES 12 (26) [A-6],ART STUDIO 12 & ART STUDIO 11 & VISUAL ARTS: ART STUDIO 10 (12) [209],COMPUTER PROGRAMMING 12 AI and (2) [203],LIFE SCIENCES 11 (26) [211],AUTOMOTIVE TECHNOLOGY 11 (11) [208]
LAW STUDIES 12 (23) [209],CHEMISTRY 12 (23) [216],LITERARY STUDIES 12 (25) [205B],20th CENTURY WORLD HISTORY 12 (30) [121],ENVIRONMENTAL SCIENCE 12 - CLI (26) [211],LEARNING STRATEGIES 12 (2) [108],ENGLISH FIRST PEOPLES 12 Year (14) [A-7],CONTEMPORARY INDIGENOUS STUDIE (18) [209]
CHEMISTRY 11 (28) [223],PHYSICS 12 (26) [219],ENGLISH FIRST PEOPLES 12 (30) [207A],FRENCH 12 (15) [122],PHYSICS 12 (23) [216],PRE-CALCULUS 12 (21) [106],OUTDOOR EDUCATION 12 (12) [A-4],COMPOSITION 11 (30) [A-7]
CRIMINOLOGY 12 (20) [222],FOOD STUDIES 12 (22) [208],CAREER LIFE EDUCATION 10 (29) [110],CHEMISTRY 11 (15) [226],CALCULUS 12 (29) [106],PHYSICAL GEOGRAPHY 12 (20) [123],LEARNING STRATEGIES 12 (3) [108],TEXTILES 11 (17) [222]
LIFE SCIENCES 11 (29) [225],COMPUTER PROGRAMMING 11 AI and (22) [203],ENTREPRENEURSHIP 12 (12) [121],ENGLISH STUDIES 12 CHALLENGE (10) [A-7],CHEMISTRY 12 (14) [219],ANATOMY AND PHYSIOLOGY 12 (22) [219],CALCULUS 12 (28) [212],PRE-CALCULUS 11 (21) [212]
COMPUTER SCIENCE 11 (30) [226],CHEMISTRY 11 (28) [223],CHEMISTRY 12 (17) [211],LIFE SCIENCES 11 (29) [227],AP CALCULUS AB 12 external cre (26) [210],CONTEMPORARY INDIGENOUS STUDIE (22) [208],PRE-CALCULUS 11 (25) [220],CROSS TRAINING 11 (13) [A-4]
CAREER LIFE EDUCATION 10 (25) [207A],LAW STUDIES 12 (24) [209],MARKETING AND PROMOTION 11 (26) [207B],LAW STUDIES 12 (29) [123],ANATOMY AND PHYSIOLOGY 12 (27) [223],LIFE SCIENCES 11 (25) [223],EXPLORATIONS IN SOCIAL STUDIES (18) [208],LEARNING STRATEGIES 11 (5) [205A]
ACCOUNTING 12 (10) [205A],ENGINEERING 12 (8) [222],FOUNDATIONS OF MATH AND PRE-CA (27) [212],ENVIRONMENTAL SCIENCE 11 (18) [208],PSYCHOLOGY 11 (27) [222],AP STATISTICS 12 (30) [210],PHYSICS 11 (22) [219],LEARNING STRATEGIES 11 (4) [205A]
DANCE CONDITIONING 12 (5) [Studio],CAREER LIFE CONNECTIONS (8) [110],EXPLORATIONS IN SOCIAL STUDIES (28) [A-2],COMPOSITION 11 (26) [209],FOUNDATIONS OF MATHEMATICS 11 (30) [212],PRE-CALCULUS 11 (27) [220],SPANISH 11 (25) [209],SOCIAL STUDIES 10 (29) [207A]
ACCOUNTING 11 (30) [205B],CONTEMPORARY INDIGENOUS STUDIE (13) [205A],LEARNING STRATEGIES 12 (4) [109],EXPLORATIONS IN SOCIAL STUDIES (28) [222],INSTRUMENTAL MUSIC 12: GUITAR (6) [205A],PHYSICS 11 (29) [226],PRE-CALCULUS 11 (26) [220],SOCIAL STUDIES 10 (30) [207A]
ENGINEERING 12 (2) [203],CAREER LIFE EDUCATION 10 (16) [207B],ENVIRONMENTAL SCIENCE 11 (20) [216],ENGINEERING 11 (4) [205A],COMPOSITION 11 (10) [A-7],WORKPLACE MATHEMATICS 11 (23) [214],PHYSICS 11 (14) [219],LEARNING STRATEGIES 10 (7) [207B]
